year,geo,value,measure_name
1995,NSW,13736.0,avg_cost_hip_replacement
1995,NSW,268.0,median_wait_hip_replacement
1995,NSW,92.23513537125457,on_time_rate_hip_replacement
1995,NSW,16852.0,avg_cost_knee_surgery
1995,NSW,229.0,median_wait_knee_surgery
1995,NSW,89.35627540132408,on_time_rate_knee_surgery
1995,NSW,33199.0,avg_cost_heart_bypass
1995,NSW,341.0,median_wait_heart_bypass
1995,NSW,76.53852078123195,on_time_rate_heart_bypass
1995,NSW,49216.0,avg_cost_dialysis
1995,NSW,177.0,median_wait_dialysis
1995,NSW,74.88292928966526,on_time_rate_dialysis
1995,NSW,13009.0,avg_cost_appendectomy
1995,NSW,352.0,median_wait_appendectomy
1995,NSW,90.75707741447276,on_time_rate_appendectomy
1995,NSW,17623.0,avg_cost_chemotherapy
1995,NSW,285.0,median_wait_chemotherapy
1995,NSW,97.3331575817548,on_time_rate_chemotherapy
1995,NSW,44364.0,avg_cost_cataract_surgery
1995,NSW,304.0,median_wait_cataract_surgery
1995,NSW,74.59805772516957,on_time_rate_cataract_surgery
1995,NSW,35038.0,avg_cost_angioplasty
1995,NSW,307.0,median_wait_angioplasty
1995,NSW,89.87173385137885,on_time_rate_angioplasty
1995,NSW,28667.0,avg_cost_colonoscopy
1995,NSW,365.0,median_wait_colonoscopy
1995,NSW,75.57128154915898,on_time_rate_colonoscopy
1995,NSW,30591.0,avg_cost_gastroscopy
1995,NSW,281.0,median_wait_gastroscopy
1995,NSW,69.96071118487602,on_time_rate_gastroscopy
1995,NSW,56643.0,avg_cost_tonsillectomy
1995,NSW,83.0,median_wait_tonsillectomy
1995,NSW,84.38347841837097,on_time_rate_tonsillectomy
1995,NSW,49256.0,avg_cost_gallbladder_surgery
1995,NSW,190.0,median_wait_gallbladder_surgery
1995,NSW,73.29171188963758,on_time_rate_gallbladder_surgery
1995,NSW,21186.0,avg_cost_hernia_repair
1995,NSW,255.0,median_wait_hernia_repair
1995,NSW,65.04096070513482,on_time_rate_hernia_repair
1995,NSW,50582.0,avg_cost_arthroscopy
1995,NSW,322.0,median_wait_arthroscopy
1995,NSW,87.36516243805353,on_time_rate_arthroscopy
1995,NSW,36728.0,avg_cost_coronary_stent
1995,NSW,213.0,median_wait_coronary_stent
1995,NSW,63.58007537568386,on_time_rate_coronary_stent
1995,NSW,31532.0,avg_cost_pacemaker_implant
1995,NSW,269.0,median_wait_pacemaker_implant
1995,NSW,82.37325687133776,on_time_rate_pacemaker_implant
