treatment_name,state,year,avg_cost,avg_outcome,n_cases,cost_per_outcome
Angioplasty,SA,2019,14255.584675640108,0.8456558147406252,11,16857.43115242754
Angioplasty,VIC,2022,14903.599909241086,0.8571200996414224,16,17387.99488598626
Angioplasty,TAS,2018,14503.094583989263,0.8293026894814777,14,17488.300433533306
Angioplasty,VIC,2021,15415.030653098922,0.8733162487961436,18,17651.143757313992
Angioplasty,VIC,2020,15582.063021957978,0.8658656498206504,16,17995.93623466359
Angioplasty,QLD,2019,14805.81384859929,0.8205833680338404,18,18043.034291658598
Angioplasty,NT,2019,14599.91595444275,0.8073791472553096,19,18083.097642632034
Angioplasty,QLD,2023,15077.870452382336,0.8302836925698565,20,18159.901955576166
Angioplasty,VIC,2018,15447.741022219365,0.8465657330821748,13,18247.538753992867
Angioplasty,WA,2021,15543.646356162353,0.8479544342651739,20,18330.756616223454
Angioplasty,NT,2022,14953.141578063673,0.8135209048369998,18,18380.771150631637
Angioplasty,TAS,2024,15244.607960717341,0.8262119965646018,19,18451.20625711631
Angioplasty,VIC,2024,15951.651888431239,0.8633491475724605,17,18476.478413494264
Angioplasty,SA,2024,15403.262906858099,0.8319431262038566,17,18514.802781222494
Angioplasty,VIC,2019,15967.214211806422,0.8563379884956934,19,18645.92535460865
Angioplasty,TAS,2019,15185.788579850107,0.8123932754500175,22,18692.6566710416
Angioplasty,QLD,2018,15745.873478721214,0.8395838986301963,26,18754.377620165214
Angioplasty,QLD,2022,15386.524834462823,0.8199063058601598,18,18766.198923572
Angioplasty,QLD,2024,16000.810359941122,0.849155207095085,18,18843.210553555986
Angioplasty,SA,2018,15912.905693977982,0.8444077319556579,14,18845.049721564617
Angioplasty,TAS,2023,15873.639509338227,0.8419436545158651,16,18853.565109966767
Angioplasty,TAS,2021,15636.546602196799,0.8286369900846441,19,18870.201052211713
Angioplasty,SA,2020,16503.19506968251,0.8695296679982707,9,18979.45024426163
Angioplasty,TAS,2022,15806.261266817855,0.8280295303559116,15,19089.006716975244
Angioplasty,NT,2023,15555.721646326774,0.8148965579328877,20,19089.197880263833
Angioplasty,QLD,2020,15892.483507587078,0.831839513941974,21,19105.227921038237
Angioplasty,NSW,2020,16530.851118682538,0.8645058993308088,22,19121.73315587393
Angioplasty,ACT,2022,16937.73545993627,0.8846886445572553,21,19145.41976337088
Angioplasty,ACT,2019,16763.967685436102,0.8751540677353111,17,19155.44737033244
Angioplasty,NT,2024,15393.750638840556,0.7990789593860544,20,19264.367379498803
Angioplasty,SA,2022,16098.926942103959,0.8340168487436923,14,19302.879751595327
Angioplasty,VIC,2023,16467.242925452498,0.8519079829987862,16,19329.837557674302
Angioplasty,WA,2018,16103.663998695385,0.8328752856619505,18,19335.024433936178
Angioplasty,NSW,2018,16261.893590701162,0.8407894226760203,17,19341.22046747884
Angioplasty,WA,2024,16600.0495084903,0.8500232463763201,15,19528.935919407984
Angioplasty,TAS,2020,15877.849544200788,0.8129972202935016,20,19530.017013426805
Angioplasty,ACT,2020,17054.909621654944,0.8714328871961239,19,19571.110836234235
