eSituation_09,DiagnosisCodeDescr
A04,Other bacterial intestinal infections
A04.7,Enterocolitis due to Clostridium difficile
A04.72,"Enterocolitis due to Clostridium difficile, not specified as recurrent"
A05.1,Botulism food poisoning
A06.4,Amebic liver abscess
A06.8,Amebic infection of other sites
A08.4,"Viral intestinal infection, unspecified"
A09,"Infectious gastroenteritis and colitis, unspecified"
A15.9,Respiratory tuberculosis unspecified
A17.81,Tuberculoma of brain and spinal cord
A31,Infection due to other mycobacteria
A31.8,Other mycobacterial infections
A35,Other tetanus
A37,Whooping cough
A40.8,Other streptococcal sepsis
A40.9,"Streptococcal sepsis, unspecified"
A41,Other sepsis
A41.02,Sepsis due to Methicillin resistant Staphylococcus aureus
A41.1,Sepsis due to other specified staphylococcus
A41.2,Sepsis due to unspecified staphylococcus
A41.59,Other Gram-negative sepsis
A41.8,Other specified sepsis
A41.89,Other specified sepsis
A41.9,"Sepsis, unspecified organism"
A42.7,Actinomycotic sepsis
A48.0,Gas gangrene
A49,Bacterial infection of unspecified site
A49.0,"Staphylococcal infection, unspecified site"
A49.01,"Methicillin susceptible Staphylococcus aureus infection, unspecified site"
A49.02,"Methicillin resistant Staphylococcus aureus infection, unspecified site"
A49.2,"Hemophilus influenzae infection, unspecified site"
A49.8,Other bacterial infections of unspecified site
A49.9,"Bacterial infection, unspecified"
A50,Congenital syphilis
A52.17,General paresis
A54.00,"Gonococcal infection of lower genitourinary tract, unspecified"
A54.3,Gonococcal infection of eye
A54.39,Other gonococcal eye infection
A63.0,Anogenital (venereal) warts
A78,Q fever
A79.9,"Rickettsiosis, unspecified"
A80.9,"Acute poliomyelitis, unspecified"
A88.1,Epidemic vertigo
A98.4,Ebola virus disease
B01,Varicella [chickenpox]
B02,Zoster [herpes zoster]
B02.9,Zoster without complications
B04,Monkeypox
B15,Acute hepatitis A
B20,Human immunodeficiency virus [HIV] disease
B33.0,Epidemic myalgia
B34,Viral infection of unspecified site
B34.2,"Coronavirus infection, unspecified"
B34.9,"Viral infection, unspecified"
B37.3,Candidiasis of vulva and vagina
B54,Unspecified malaria
B66.9,"Fluke infection, unspecified"
B82.0,"Intestinal helminthiasis, unspecified"
B86,Scabies
B88.9,"Infestation, unspecified"
B89,Unspecified parasitic disease
B94,Sequelae of other and unspecified infectious and parasitic diseases
B96.20,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere
B96.89,Other specified bacterial agents as the cause of diseases classified elsewhere
B97.21,SARS-associated coronavirus as the cause of diseases classified elsewhere
B97.29,Other coronavirus as the cause of diseases classified elsewhere
B97.4,Respiratory syncytial virus as the cause of diseases classified elsewhere
B99,Other and unspecified infectious diseases
B99.8,Other infectious disease
B99.9,Unspecified infectious disease
C06.9,"Malignant neoplasm of mouth, unspecified"
C14.0,"Malignant neoplasm of pharynx, unspecified"
C15.9,"Malignant neoplasm of esophagus, unspecified"
C16.9,"Malignant neoplasm of stomach, unspecified"
C18.9,"Malignant neoplasm of colon, unspecified"
C19,Malignant neoplasm of rectosigmoid junction
C20,Malignant neoplasm of rectum
C22.0,Liver cell carcinoma
C22.4,Other sarcomas of liver
C22.8,"Malignant neoplasm of liver, primary, unspecified as to type"
C22.9,"Malignant neoplasm of liver, not specified as primary or secondary"
