eSituation_10,DiagnosisCodeDescr
A04.72,"Enterocolitis due to Clostridium difficile, not specified as recurrent"
A06.4,Amebic liver abscess
A09,"Infectious gastroenteritis and colitis, unspecified"
A31,Infection due to other mycobacteria
A31.8,Other mycobacterial infections
A35,Other tetanus
A40.8,Other streptococcal sepsis
A41,Other sepsis
A41.02,Sepsis due to Methicillin resistant Staphylococcus aureus
A41.1,Sepsis due to other specified staphylococcus
A41.2,Sepsis due to unspecified staphylococcus
A41.89,Other specified sepsis
A41.9,"Sepsis, unspecified organism"
A48.0,Gas gangrene
A48.8,Other specified bacterial diseases
A49,Bacterial infection of unspecified site
A49.8,Other bacterial infections of unspecified site
A49.9,"Bacterial infection, unspecified"
A54.00,"Gonococcal infection of lower genitourinary tract, unspecified"
A64,Unspecified sexually transmitted disease
A88.1,Epidemic vertigo
A98.4,Ebola virus disease
B02,Zoster [herpes zoster]
B02.9,Zoster without complications
B04,Monkeypox
B17,Other acute viral hepatitis
B33.0,Epidemic myalgia
B34,Viral infection of unspecified site
B34.2,"Coronavirus infection, unspecified"
B34.9,"Viral infection, unspecified"
B82.0,"Intestinal helminthiasis, unspecified"
B94,Sequelae of other and unspecified infectious and parasitic diseases
B96.20,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere
B96.89,Other specified bacterial agents as the cause of diseases classified elsewhere
B97.21,SARS-associated coronavirus as the cause of diseases classified elsewhere
B97.29,Other coronavirus as the cause of diseases classified elsewhere
B97.4,Respiratory syncytial virus as the cause of diseases classified elsewhere
B99.8,Other infectious disease
B99.9,Unspecified infectious disease
C06.9,"Malignant neoplasm of mouth, unspecified"
C15.9,"Malignant neoplasm of esophagus, unspecified"
C16.9,"Malignant neoplasm of stomach, unspecified"
C19,Malignant neoplasm of rectosigmoid junction
C20,Malignant neoplasm of rectum
C22.9,"Malignant neoplasm of liver, not specified as primary or secondary"
C25,Malignant neoplasm of pancreas
C25.9,"Malignant neoplasm of pancreas, unspecified"
C32.9,"Malignant neoplasm of larynx, unspecified"
C34.9,Malignant neoplasm of unspecified part of bronchus or lung
C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung
C41.2,Malignant neoplasm of vertebral column
C41.9,"Malignant neoplasm of bone and articular cartilage, unspecified"
C43,Malignant melanoma of skin
C43.9,"Malignant melanoma of skin, unspecified"
C44.91,"Basal cell carcinoma of skin, unspecified"
C50.919,Malignant neoplasm of unspecified site of unspecified female breast
C53.9,"Malignant neoplasm of cervix uteri, unspecified"
C55,"Malignant neoplasm of uterus, part unspecified"
C56.9,Malignant neoplasm of unspecified ovary
C61,Malignant neoplasm of prostate
C64.9,"Malignant neoplasm of unspecified kidney, except renal pelvis"
C67,Malignant neoplasm of bladder
C67.9,"Malignant neoplasm of bladder, unspecified"
C71,Malignant neoplasm of brain
C71.9,"Malignant neoplasm of brain, unspecified"
C72.0,Malignant neoplasm of spinal cord
C76.2,Malignant neoplasm of abdomen
C77.9,"Secondary and unspecified malignant neoplasm of lymph node, unspecified"
C79.2,Secondary malignant neoplasm of skin
C79.31,Secondary malignant neoplasm of brain
C79.9,Secondary malignant neoplasm of unspecified site
C80.1,"Malignant (primary) neoplasm, unspecified"
C85.80,"Other specified types of non-Hodgkin lymphoma, unspecified site"
C90.00,Multiple myeloma not having achieved remission
C90.01,Multiple myeloma in remission
C95,Leukemia of unspecified cell type
C95.90,"Leukemia, unspecified not having achieved remission"
D01.0,Carcinoma in situ of colon
D02.3,Carcinoma in situ of other parts of respiratory system
D04,Carcinoma in situ of skin
D05,Carcinoma in situ of breast
D09.0,Carcinoma in situ of bladder
D10.3,Benign neoplasm of other and unspecified parts of mouth
D24,Benign neoplasm of breast
D25,Leiomyoma of uterus
D26,Other benign neoplasms of uterus
D27,Benign neoplasm of ovary
D28,Benign neoplasm of other and unspecified female genital organs
D30,Benign neoplasm of urinary organs
D32,Benign neoplasm of meninges
D40,Neoplasm of uncertain behavior of male genital organs
D43,Neoplasm of uncertain behavior of brain and central nervous system
D46,Myelodysplastic syndromes
D48.7,Neoplasm of uncertain behavior of other specified sites
D49,Neoplasms of unspecified behavior
D49.6,Neoplasm of unspecified behavior of brain
D49.89,Neoplasm of unspecified behavior of other specified sites
D49.9,Neoplasm of unspecified behavior of unspecified site
D50,Iron deficiency anemia
D50.0,Iron deficiency anemia secondary to blood loss (chronic)
D50.9,"Iron deficiency anemia, unspecified"
D56.4,Hereditary persistence of fetal hemoglobin [HPFH]
D57,Sickle-cell disorders
D57.0,Hb-SS disease with crisis
D57.00,"Hb-SS disease with crisis, unspecified"
D57.21,Sickle-cell/Hb-C disease with crisis
D57.219,"Sickle-cell/Hb-C disease with crisis, unspecified"
D57.419,"Sickle-cell thalassemia, unspecified, with crisis"
D57.8,Other sickle-cell disorders
D57.819,"Other sickle-cell disorders with crisis, unspecified"
D61.818,Other pancytopenia
D64.8,Other specified anemias
D64.9,"Anemia, unspecified"
D69,Purpura and other hemorrhagic conditions
D69.0,Allergic purpura
D69.6,"Thrombocytopenia, unspecified"
D69.9,"Hemorrhagic condition, unspecified"
D70.1,Agranulocytosis secondary to cancer chemotherapy
D72.82,Elevated white blood cell count
D72.829,"Elevated white blood cell count, unspecified"
D72.89,Other specified disorders of white blood cells
D75.9,"Disease of blood and blood-forming organs, unspecified"
D77,Other disorders of blood and blood-forming organs in diseases classified elsewhere
D80.8,Other immunodeficiencies with predominantly antibody defects
E03.9,"Hypothyroidism, unspecified"
E08,Diabetes mellitus due to underlying condition
E08.40,"Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified"
E08.44,Diabetes mellitus due to underlying condition with diabetic amyotrophy
E08.64,Diabetes mellitus due to underlying condition with hypoglycemia
E08.641,Diabetes mellitus due to underlying condition with hypoglycemia with coma
E08.649,Diabetes mellitus due to underlying condition with hypoglycemia without coma
E08.65,Diabetes mellitus due to underlying condition with hyperglycemia
E08.8,Diabetes mellitus due to underlying condition with unspecified complications
E09.3593,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral"
E09.641,Drug or chemical induced diabetes mellitus with hypoglycemia with coma
E10.10,Type 1 diabetes mellitus with ketoacidosis without coma
E10.21,Type 1 diabetes mellitus with diabetic nephropathy
E10.64,Type 1 diabetes mellitus with hypoglycemia
E10.641,Type 1 diabetes mellitus with hypoglycemia with coma
E10.649,Type 1 diabetes mellitus with hypoglycemia without coma
E10.65,Type 1 diabetes mellitus with hyperglycemia
E10.69,Type 1 diabetes mellitus with other specified complication
E10.8,Type 1 diabetes mellitus with unspecified complications
E11.1,Type 2 diabetes mellitus with ketoacidosis
